A:03 F:10 B:01 C:10 D:c0 E:29 H:40 L:29 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:03 F:10 B:01 C:10 D:c0 E:29 H:40 L:29 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:c0 F:10 B:01 C:10 D:c0 E:29 H:40 L:2a SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:c0 F:10 B:01 C:10 D:c0 E:29 H:40 L:2a SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:c0 F:10 B:01 C:10 D:c0 E:2a H:40 L:2a SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:c0 F:10 B:01 C:10 D:c0 E:2a H:40 L:2a SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:f1 F:10 B:01 C:10 D:c0 E:2a H:40 L:2b SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:f1 F:10 B:01 C:10 D:c0 E:2a H:40 L:2b SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:f1 F:10 B:01 C:10 D:c0 E:2b H:40 L:2b SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:f1 F:10 B:01 C:10 D:c0 E:2b H:40 L:2b SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:3d F:10 B:01 C:10 D:c0 E:2b H:40 L:2c SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:3d F:10 B:01 C:10 D:c0 E:2b H:40 L:2c SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:3d F:10 B:01 C:10 D:c0 E:2c H:40 L:2c SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:3d F:10 B:01 C:10 D:c0 E:2c H:40 L:2c SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:20 F:10 B:01 C:10 D:c0 E:2c H:40 L:2d SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:20 F:10 B:01 C:10 D:c0 E:2c H:40 L:2d SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:20 F:10 B:01 C:10 D:c0 E:2d H:40 L:2d SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:20 F:10 B:01 C:10 D:c0 E:2d H:40 L:2d SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:f1 F:10 B:01 C:10 D:c0 E:2d H:40 L:2e SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:f1 F:10 B:01 C:10 D:c0 E:2d H:40 L:2e SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:f1 F:10 B:01 C:10 D:c0 E:2e H:40 L:2e SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:f1 F:10 B:01 C:10 D:c0 E:2e H:40 L:2e SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:c9 F:10 B:01 C:10 D:c0 E:2e H:40 L:2f SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:c9 F:10 B:01 C:10 D:c0 E:2e H:40 L:2f SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:c9 F:10 B:01 C:10 D:c0 E:2f H:40 L:2f SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:c9 F:10 B:01 C:10 D:c0 E:2f H:40 L:2f SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:f5 F:10 B:01 C:10 D:c0 E:2f H:40 L:30 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:f5 F:10 B:01 C:10 D:c0 E:2f H:40 L:30 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:f5 F:30 B:01 C:10 D:c0 E:30 H:40 L:30 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:f5 F:30 B:01 C:10 D:c0 E:30 H:40 L:30 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:7c F:30 B:01 C:10 D:c0 E:30 H:40 L:31 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:7c F:30 B:01 C:10 D:c0 E:30 H:40 L:31 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:7c F:10 B:01 C:10 D:c0 E:31 H:40 L:31 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:7c F:10 B:01 C:10 D:c0 E:31 H:40 L:31 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:cd F:10 B:01 C:10 D:c0 E:31 H:40 L:32 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:cd F:10 B:01 C:10 D:c0 E:31 H:40 L:32 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:cd F:10 B:01 C:10 D:c0 E:32 H:40 L:32 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:cd F:10 B:01 C:10 D:c0 E:32 H:40 L:32 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:10 F:10 B:01 C:10 D:c0 E:32 H:40 L:33 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:10 F:10 B:01 C:10 D:c0 E:32 H:40 L:33 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:10 F:10 B:01 C:10 D:c0 E:33 H:40 L:33 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:10 F:10 B:01 C:10 D:c0 E:33 H:40 L:33 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:c0 F:10 B:01 C:10 D:c0 E:33 H:40 L:34 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:c0 F:10 B:01 C:10 D:c0 E:33 H:40 L:34 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:c0 F:10 B:01 C:10 D:c0 E:34 H:40 L:34 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:c0 F:10 B:01 C:10 D:c0 E:34 H:40 L:34 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:7d F:10 B:01 C:10 D:c0 E:34 H:40 L:35 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:7d F:10 B:01 C:10 D:c0 E:34 H:40 L:35 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:7d F:10 B:01 C:10 D:c0 E:35 H:40 L:35 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:7d F:10 B:01 C:10 D:c0 E:35 H:40 L:35 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:cd F:10 B:01 C:10 D:c0 E:35 H:40 L:36 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:cd F:10 B:01 C:10 D:c0 E:35 H:40 L:36 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:cd F:10 B:01 C:10 D:c0 E:36 H:40 L:36 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:cd F:10 B:01 C:10 D:c0 E:36 H:40 L:36 SP:fffe PC:0206 PCMEM:2a,12,1c,20
